   row |             user |  size |  22 s |  22 e |  23 s |  23 e
 13227 |    e_vitiello_jr |  7334 | 53247 | 53247 | 63972 | 63976
 20445 |        puzzlebot |  7334 | 61447 | 61447 | 61824 | 61913
 13228 |        puzzlebot |  7334 | 53247 | 53247 | 63977 | 63979
 20446 |    e_vitiello_jr |  7334 | 61447 | 61447 | 61914 | 61914
 13229 |    e_vitiello_jr |  7334 | 53247 | 53247 | 63980 | 63980
 20447 |        puzzlebot |  7334 | 61447 | 61447 | 61915 | 61942
 20448 |    e_vitiello_jr |  7334 | 61447 | 61447 | 61943 | 61944
 20449 |        puzzlebot |  7334 | 61447 | 61447 | 61945 | 61945
  8690 |        Nostromo3 |  7334 | 41111 | 41111 | 65310 | 65310
  8691 |       Shandrakor |  7334 | 41111 | 41111 | 65316 | 65316
  8692 |            dysan |  7334 | 41111 | 41111 | 65317 | 65317
  8693 |       wintermute |  7334 | 41111 | 41111 | 65322 | 65322
  8694 |       tastyabbot |  7334 | 41111 | 41111 | 65324 | 65324
  8695 |       Shandrakor |  7334 | 41111 | 41111 | 65331 | 65331
  8696 |             Oli2 |  7334 | 41111 | 41111 | 65333 | 65333
  2010 |             Oli2 |  7334 | 40971 | 40971 | 63946 | 64719
  8697 |           johnel |  7334 | 41111 | 41111 | 65336 | 65342
  2011 |    username_here |  7334 | 40971 | 40971 | 64720 | 64720
  8698 |            dysan |  7334 | 41111 | 41111 | 65349 | 65349
  2012 |             Oli2 |  7334 | 40971 | 40971 | 64721 | 64759
  2013 |          oeeping |  7334 | 40971 | 40971 | 64760 | 64760
 13230 |        puzzlebot |  7334 | 53247 | 53247 | 63983 | 63985
  8699 |       Shandrakor |  7334 | 41111 | 41111 | 65352 | 65352
  2014 |             Oli2 |  7334 | 40971 | 40971 | 64761 | 65022
 13231 |    e_vitiello_jr |  7334 | 53247 | 53247 | 63987 | 63987
  2015 |        puzzlebot |  7334 | 40971 | 40971 | 65023 | 65023
 13232 |        puzzlebot |  7334 | 53247 | 53247 | 63991 | 64000
  2016 |             Oli2 |  7334 | 40971 | 40971 | 65024 | 65535
 20450 |    e_vitiello_jr |  7334 | 61447 | 61447 | 61946 | 61946
 13233 |    e_vitiello_jr |  7334 | 53247 | 53247 | 64001 | 64001
  2017 |           momary |  7334 | 40972 | 40972 | 61440 | 63487
 20451 |        puzzlebot |  7334 | 61447 | 61447 | 61947 | 61953
 13234 |        puzzlebot |  7334 | 53247 | 53247 | 64003 | 64007
  2018 |          grimace |  7334 | 40972 | 40972 | 63488 | 64816
 20452 |    e_vitiello_jr |  7334 | 61447 | 61447 | 61954 | 61954
 13235 |    e_vitiello_jr |  7334 | 53247 | 53247 | 64014 | 64025
  2019 |            dysan |  7334 | 40972 | 40972 | 64817 | 64817
 20453 |        puzzlebot |  7334 | 61447 | 61447 | 61955 | 61957
 13236 |        puzzlebot |  7334 | 53247 | 53247 | 64029 | 64029
 20454 |    e_vitiello_jr |  7334 | 61447 | 61447 | 61958 | 61958
 13237 |    e_vitiello_jr |  7334 | 53247 | 53247 | 64030 | 64030
